2018/11/ 4 Aircraft: ['EMB 110P1 Bandeirante']               , Dep:   SCSE, Arr:   SCES, Flight Time: 00:28:14, Errors:   4, Landing: A,   230 ft/min,  1.45g,   1 bounce(s)
2018/11/ 4 Aircraft: ['EMB 110P1 Bandeirante']               , Dep:   SCES, Arr:   SCCF, Flight Time: 00:47:02, Errors:   1, Landing: D,   454 ft/min,  1.64g,   1 bounce(s)
2018/11/ 4 Aircraft: ['EMB 110P1 Bandeirante']               , Dep:   SCCF, Arr:   SCAR, Flight Time: 01:12:46, Errors:   2, Landing: B,   104 ft/min,  1.46g,   2 bounce(s)
2018/11/ 4 Aircraft: ['EMB 110P1 Bandeirante']               , Dep:   SCAR, Arr:   SPHO, Flight Time: 01:36:38, Errors:   9, Landing: C,   355 ft/min,  1.39g,   1 bounce(s)
2018/11/ 4 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   SPHO, Arr:   SPSO, Flight Time: 00:28:16, Errors:   2, Landing: B,   171 ft/min,  1.54g,   1 bounce(s)
2018/11/ 4 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   SPSO, Arr:   SPIM, Flight Time: 00:42:57, Errors:   0, Landing: A,    98 ft/min,  1.11g,   0 bounce(s)
2018/11/ 4 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   SPJC, Arr:   SPHI, Flight Time: 00:14:02, Errors:   1, Landing: B,   174 ft/min,  1.15g,   0 bounce(s)
2018/11/ 4 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   SPHI, Arr:   SEQM, Flight Time: 00:38:21, Errors:   2, Landing: B,   246 ft/min,  1.55g,   0 bounce(s)
2018/11/ 5 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   VEBD, Arr:   ZUUU, Flight Time: 00:33:39, Errors:   3, Landing: C,   378 ft/min,  1.20g,   1 bounce(s)
2018/11/ 5 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   FALY, Arr:   FXSM, Flight Time: 00:18:06, Errors:   8, Landing: B,   232 ft/min,  1.34g,   0 bounce(s)
2018/11/ 6 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   ZUUU, Arr:   ZGNN, Flight Time: 00:39:36, Errors:   4, Landing: B,   180 ft/min,  1.39g,   0 bounce(s)
2018/11/ 6 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   ZGNN, Arr:   VDKH, Flight Time: 01:22:11, Errors:   2, Landing: B,   187 ft/min,  1.57g,   1 bounce(s)
2018/11/ 6 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   VDKH, Arr:   WMKJ, Flight Time: 02:59:43, Errors:   1, Landing: C,   282 ft/min,  1.74g,   0 bounce(s)
2018/11/ 6 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   TXKF, Arr:   TJSJ, Flight Time: 00:32:49, Errors:   1, Landing: B,   163 ft/min,  1.60g,   0 bounce(s)
2018/11/ 8 Aircraft: ['AB 412']                              , Dep:   S691, Arr:   32S3, Flight Time: 00:06:53, Errors:   6, Landing: C,   170 ft/min,  2.35g,   0 bounce(s)
2018/11/ 8 Aircraft: ['AB 412']                              , Dep:   32S3, Arr:  MT692, Flight Time: 00:20:51, Errors:   2, Landing: C,   266 ft/min,  1.4 g,   1 bounce(s)
2018/11/11 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   CYXH, Arr:   PAJN, Flight Time: 00:43:23, Errors:   5, Landing: C,   265 ft/min,  1.9 g,   0 bounce(s)
2018/11/11 Aircraft: ['Dornier Do 228']                      , Dep:   SEQU, Arr:   SEAM, Flight Time: 00:11:44, Errors:   5, Landing: A,    47 ft/min,  1.6 g,   0 bounce(s)
2018/11/11 Aircraft: ['Dornier Do 228']                      , Dep:   SEAM, Arr:   MPMG, Flight Time: 00:20:29, Errors:   1, Landing: B,   194 ft/min,  1.36g,   0 bounce(s)
2018/11/11 Aircraft: ['Dornier Do 228']                      , Dep:   MPMG, Arr:   MNMG, Flight Time: 00:52:56, Errors:   0, Landing: A,    91 ft/min,  1.17g,   0 bounce(s)
2018/11/11 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   KPDX, Arr:   PAKT, Flight Time: 01:06:44, Errors:   1, Landing: C,   289 ft/min,  1.19g,   3 bounce(s)
2018/11/12 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   09AZ, Arr:   KFHU, Flight Time: 00:19:00, Errors:   1, Landing: B,   160 ft/min,  1.7 g,   0 bounce(s)
2018/11/13 Aircraft: ['AB 412']                              , Dep:   32S2, Arr:  MT302, Flight Time: 00:07:32, Errors:   1, Landing: B,   135 ft/min,  1.50g,   1 bounce(s)
2018/11/13 Aircraft: ['Dornier Do 228']                      , Dep:   MNMG, Arr:   MSLP, Flight Time: 00:22:26, Errors:   0, Landing: B,   235 ft/min,  1.91g,   0 bounce(s)
